id,text,Tweet_punct,word_list
1274117573227905024," @sportscronkite: Due to the COVID-19 pandemic, many gaming lounges, such as the SAK Gaming Lounge in Tempe, were forced to close their d…",due to the covid19 pandemic many gaming lounges such as the sak gaming lounge in tempe were forced to close their d,"['due', 'to', 'the', 'covid19', 'pandemic', 'many', 'gaming', 'lounges', 'such', 'as', 'the', 'sak', 'gaming', 'lounge', 'in', 'tempe', 'were', 'forced', 'to', 'close', 'their', 'd']"
1274117573223673856,#coronapalooza - Remember the Con Man promising to pay legal costs if they beat someone up?Now he’s demanding the… https://t.co/C62tr2orKM,coronapalooza remember the con man promising to pay legal costs if they beat someone upnow hes demanding the,"['coronapalooza', 'remember', 'the', 'con', 'man', 'promising', 'to', 'pay', 'legal', 'costs', 'if', 'they', 'beat', 'someone', 'upnow', 'hes', 'demanding', 'the']"
1274117573919952896," @mitchellvii: This is what amazes me.It says RIGHT ON THE BOX these surgical masks will NOT protect you from COVID-19 and yet, Democra…",this is what amazes meit says right on the box these surgical masks will not protect you from covid19 and yet democra,"['this', 'is', 'what', 'amazes', 'meit', 'says', 'right', 'on', 'the', 'box', 'these', 'surgical', 'masks', 'will', 'not', 'protect', 'you', 'from', 'covid19', 'and', 'yet', 'democra']"
1274117574746427393,Why are we taking less precautions when the the COVID-19 numbers are going up at such alarming rates? Make it make sense.,why are we taking less precautions when the the covid19 numbers are going up at such alarming rates make it make sense,"['why', 'are', 'we', 'taking', 'less', 'precautions', 'when', 'the', 'the', 'covid19', 'numbers', 'are', 'going', 'up', 'at', 'such', 'alarming', 'rates', 'make', 'it', 'make', 'sense']"
1274117575216070656, @kaykayluv4ever: @t_fishhh From my heart I’m asking everyone to PLEASE donate towards my daughter funeral/memorial. My baby passed away…,from my heart im asking everyone to please donate towards my daughter funeralmemorial my baby passed away,"['from', 'my', 'heart', 'im', 'asking', 'everyone', 'to', 'please', 'donate', 'towards', 'my', 'daughter', 'funeralmemorial', 'my', 'baby', 'passed', 'away']"
1274117575165673474, @PatrickSaez2: Grants to UN agencies are the least effective in channeling resources to then frontline. So why is 74% of humanitarian fu…,grants to un agencies are the least effective in channeling resources to then frontline so why is of humanitarian fu,"['grants', 'to', 'un', 'agencies', 'are', 'the', 'least', 'effective', 'in', 'channeling', 'resources', 'to', 'then', 'frontline', 'so', 'why', 'is', 'of', 'humanitarian', 'fu']"
1274117577464328192," @TribulationNow: Navy Flip-Flops, Won't Reinstate Fired Aircraft Carrier Captain Who Sounded Alarm Over COVID-19 | Zero Hedge https://t.…",navy flipflops wont reinstate fired aircraft carrier captain who sounded alarm over covid19 zero hedge,"['navy', 'flipflops', 'wont', 'reinstate', 'fired', 'aircraft', 'carrier', 'captain', 'who', 'sounded', 'alarm', 'over', 'covid19', 'zero', 'hedge']"
1274117577682214913, @phuckdietstud: found some black participants for y’all! ☺️ https://t.co/RsaYneYHCb,found some black participants for yall,"['found', 'some', 'black', 'participants', 'for', 'yall']"
1274117578160406528, @Fayemous___: Doctors? Teachers? Essential workers?,doctors teachers essential workers,"['doctors', 'teachers', 'essential', 'workers']"
1274117578366103554," @bgcmartincounty: Due to ongoing efforts to stop the spread of the COVID-19 virus in our community, we made the difficult decision to ke…",due to ongoing efforts to stop the spread of the covid19 virus in our community we made the difficult decision to ke,"['due', 'to', 'ongoing', 'efforts', 'to', 'stop', 'the', 'spread', 'of', 'the', 'covid19', 'virus', 'in', 'our', 'community', 'we', 'made', 'the', 'difficult', 'decision', 'to', 'ke']"
1274117578487668736, @latimes: Breaking: UCLA football players are demanding that a “third-party health official” be on hand for all football activities to s…,breaking ucla football players are demanding that a thirdparty health official be on hand for all football activities to s,"['breaking', 'ucla', 'football', 'players', 'are', 'demanding', 'that', 'a', 'thirdparty', 'health', 'official', 'be', 'on', 'hand', 'for', 'all', 'football', 'activities', 'to', 's']"
1274117578428870656," @shaun505: New Mexico Senator calls out the CDC for withholding info from tribal epidemiologists, including Albuquerque and Navajo cente…",new mexico senator calls out the cdc for withholding info from tribal epidemiologists including albuquerque and navajo cente,"['new', 'mexico', 'senator', 'calls', 'out', 'the', 'cdc', 'for', 'withholding', 'info', 'from', 'tribal', 'epidemiologists', 'including', 'albuquerque', 'and', 'navajo', 'cente']"
1274117580047949824, @KySportsRadio: 23 Clemson players test positive for Covid-19That’s a wow https://t.co/rZEJX2T2Jj,clemson players test positive for covid19thats a wow,"['clemson', 'players', 'test', 'positive', 'for', 'covid19thats', 'a', 'wow']"
1274117580056297472,@YourePerfidy @SkyNews John is telling you that those protests didn’t increase the amount of people catching COVID-… https://t.co/BGNMetQtOs,john is telling you that those protests didnt increase the amount of people catching covid,"['john', 'is', 'telling', 'you', 'that', 'those', 'protests', 'didnt', 'increase', 'the', 'amount', 'of', 'people', 'catching', 'covid']"
1274117580207394817," @BernieSanders: Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines…",trumps rally in tulsa is indoors with no social distancing and no mask requirementsall in violation of cdc guidelines,"['trumps', 'rally', 'in', 'tulsa', 'is', 'indoors', 'with', 'no', 'social', 'distancing', 'and', 'no', 'mask', 'requirementsall', 'in', 'violation', 'of', 'cdc', 'guidelines']"
1274117580995743744,Arnold Schwarzenegger: Anyone making COVID-19 masks a 'political issue is an absolute moron'… https://t.co/s7Asxmfmst,arnold schwarzenegger anyone makingcovid19 masks a political issue is an absolute moron,"['arnold', 'schwarzenegger', 'anyone', 'makingcovid19', 'masks', 'a', 'political', 'issue', 'is', 'an', 'absolute', 'moron']"
1274117582308511746," @RepValDemings: The COVID-19 shutdowns were never a way to ""beat"" the pandemic. They were a delaying tactic to give the president time t…",the covid19 shutdowns were never a way to beat the pandemic they were a delaying tactic to give the president time t,"['the', 'covid19', 'shutdowns', 'were', 'never', 'a', 'way', 'to', 'beat', 'the', 'pandemic', 'they', 'were', 'a', 'delaying', 'tactic', 'to', 'give', 'the', 'president', 'time', 't']"
1274117585043435521, @iget_buckets35: This is not good for college sports 😐,this is not good for college sports,"['this', 'is', 'not', 'good', 'for', 'college', 'sports']"
1274117585282498560, @JasperDolphin: Give this shit to the doctors and nurses wtf,give this shit to the doctors and nurses wtf,"['give', 'this', 'shit', 'to', 'the', 'doctors', 'and', 'nurses', 'wtf']"
1274117587509575681, @ctvottawa: NEW: VIA Rail is implementing a new face mask policy for passengers on trains and in stations during the COVID-19 pandemic.…,new via rail is implementing a new face mask policy for passengers on trains and in stations during the covid19 pandemic,"['new', 'via', 'rail', 'is', 'implementing', 'a', 'new', 'face', 'mask', 'policy', 'for', 'passengers', 'on', 'trains', 'and', 'in', 'stations', 'during', 'the', 'covid19', 'pandemic']"
1274117589787172865," @BernieSanders: Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines…",trumps rally in tulsa is indoors with no social distancing and no mask requirementsall in violation of cdc guidelines,"['trumps', 'rally', 'in', 'tulsa', 'is', 'indoors', 'with', 'no', 'social', 'distancing', 'and', 'no', 'mask', 'requirementsall', 'in', 'violation', 'of', 'cdc', 'guidelines']"
1274117589938180097," @BernieSanders: Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines…",trumps rally in tulsa is indoors with no social distancing and no mask requirementsall in violation of cdc guidelines,"['trumps', 'rally', 'in', 'tulsa', 'is', 'indoors', 'with', 'no', 'social', 'distancing', 'and', 'no', 'mask', 'requirementsall', 'in', 'violation', 'of', 'cdc', 'guidelines']"
1274117590131126274, @Fayemous___: Doctors? Teachers? Essential workers?,doctors teachers essential workers,"['doctors', 'teachers', 'essential', 'workers']"
1274117590906925056, @WAFB: BREAKING NEWS: LSU-area bars linked to at least 100 reports of COVID-19; closures announced https://t.co/Rz4Y4N1tXWAnyone who v…,breaking news lsuarea bars linked to at least reports of covid19 closures announced who v,"['breaking', 'news', 'lsuarea', 'bars', 'linked', 'to', 'at', 'least', 'reports', 'of', 'covid19', 'closures', 'announced', 'who', 'v']"
1274117590936203264, @DWUhlfelderLaw: BREAKING:  Florida added 3822 new COVID-19 cases overnight.  Another new record.,breaking florida added new covid19 cases overnight another new record,"['breaking', 'florida', 'added', 'new', 'covid19', 'cases', 'overnight', 'another', 'new', 'record']"
1274117592496713729,This will be dangerous if this gets passed.,this will be dangerous if this gets passed,"['this', 'will', 'be', 'dangerous', 'if', 'this', 'gets', 'passed']"
1274117593268457472," @BernieSanders: Trump's rally in Tulsa is indoors, with no social distancing and no mask requirements—all in violation of CDC guidelines…",trumps rally in tulsa is indoors with no social distancing and no mask requirementsall in violation of cdc guidelines,"['trumps', 'rally', 'in', 'tulsa', 'is', 'indoors', 'with', 'no', 'social', 'distancing', 'and', 'no', 'mask', 'requirementsall', 'in', 'violation', 'of', 'cdc', 'guidelines']"
1274117593591353344, @Fayemous___: Doctors? Teachers? Essential workers?,doctors teachers essential workers,"['doctors', 'teachers', 'essential', 'workers']"
